Granting Agency,Company,Title,Start,End,Total
NSERC,Discovery Grant,Fast Reduced Order Models for Welding and Wire/Arc and Laser/Powder DED Additive Manufacturing in Metals,2024-04-01,2032-03-01,240000
NSERC,EVRAZ Inc.,Penetrator Defect Formation and Retention Mechanisms in Electric Resistance Welding Processes,2025-04-01,2028-04-01,180000
UofA,,Endowment Funding for C:CLAD Project,2023-03-01,2027-03-01,500000
CWB-WF,CWB Welding Foundation,Program Support Fund,2024-11-01,2027-08-01,225000
CWB-WF,CWB Welding Foundation,Student Support Fund,2024-11-01,2027-08-01,75000
WD/PrairiesCan,"Apollo Clad, Group Six, Lincoln Electric Laserline",C:CLAD Cluster Development,2022-04-01,2027-03-01,1292704
NSERC Alliance,"Amsted Rail, Apollo Clad",New generation of multi-material railroad wheels,2020-01-01,2026-05-01,478100
Amsted Rail,Amsted Rail,Local deposition of controlled alloys using plasma transfer arc welding on railroad wheels,2020-01-01,2026-05-01,228000
Apollo Clad,Apollo Clad,Local deposition of controlled alloys using plasma transfer arc welding on railroad wheels,2020-01-01,2026-05-01,39000
Evraz NA,Evraz NA,ERW Bondline Flaw Formation Mechanisms,2022-12-01,2025-06-01,50000
CWB-WF,CWB Welding Foundation,Program Support Fund,2021-09-01,2024-08-01,150000
CWB-WF,CWB Welding Foundation,Student Support Fund,2021-09-01,2024-08-01,75000
AWS,American Welding Society,AWS Fellowship Cardanini,2022-09-01,2024-08-01,73885
Industrial Research,Lincoln Electric,Parametric Optimization Study Aluminum Welding,2022-09-01,2023-08-01,60000
GCCIR,"Group Six Technologies, DURUM, BTU Brandenburg-Cottbus",DynaDur – Development and deposition of highly durable coating for dynamic-abrasive environments,2021-04-01,2023-03-01,30000
NSERC CRD,"CWB WF, LJ Welding, Weldco",Structure-Processing Relationships for Welding New Steels,2019-09-01,2023-02-01,520614
Industrial Research,AltaSteel,"Developing a quantitative model of hydrogen through the complete production cycle of heat-treated, high-carbon grinding and SAG product",2020-09-01,2022-09-01,98000
